0.0 0.0 0.0 1.0 
0.0 0.0 0.125 0.875 
0.0 0.0 0.25 0.75 
0.0 0.0 0.375 0.625 
0.0 0.0 0.5 0.5 
0.0 0.0 0.625 0.375 
0.0 0.0 0.75 0.25 
0.0 0.0 0.875 0.125 
0.0 0.0 1.0 0.0 
0.0 0.125 0.0 0.875 
0.0 0.125 0.125 0.75 
0.0 0.125 0.25 0.625 
0.0 0.125 0.375 0.5 
0.0 0.125 0.5 0.375 
0.0 0.125 0.625 0.25 
0.0 0.125 0.75 0.125 
0.0 0.125 0.875 0.0 
0.0 0.25 0.0 0.75 
0.0 0.25 0.125 0.625 
0.0 0.25 0.25 0.5 
0.0 0.25 0.375 0.375 
0.0 0.25 0.5 0.25 
0.0 0.25 0.625 0.125 
0.0 0.25 0.75 0.0 
0.0 0.375 0.0 0.625 
0.0 0.375 0.125 0.5 
0.0 0.375 0.25 0.375 
0.0 0.375 0.375 0.25 
0.0 0.375 0.5 0.125 
0.0 0.375 0.625 0.0 
0.0 0.5 0.0 0.5 
0.0 0.5 0.125 0.375 
0.0 0.5 0.25 0.25 
0.0 0.5 0.375 0.125 
0.0 0.5 0.5 0.0 
0.0 0.625 0.0 0.375 
0.0 0.625 0.125 0.25 
0.0 0.625 0.25 0.125 
0.0 0.625 0.375 0.0 
0.0 0.75 0.0 0.25 
0.0 0.75 0.125 0.125 
0.0 0.75 0.25 0.0 
0.0 0.875 0.0 0.125 
0.0 0.875 0.125 0.0 
0.0 1.0 0.0 0.0 
0.125 0.0 0.0 0.875 
0.125 0.0 0.125 0.75 
0.125 0.0 0.25 0.625 
0.125 0.0 0.375 0.5 
0.125 0.0 0.5 0.375 
0.125 0.0 0.625 0.25 
0.125 0.0 0.75 0.125 
0.125 0.0 0.875 0.0 
0.125 0.125 0.0 0.75 
0.125 0.125 0.125 0.625 
0.125 0.125 0.25 0.5 
0.125 0.125 0.375 0.375 
0.125 0.125 0.5 0.25 
0.125 0.125 0.625 0.125 
0.125 0.125 0.75 0.0 
0.125 0.25 0.0 0.625 
0.125 0.25 0.125 0.5 
0.125 0.25 0.25 0.375 
0.125 0.25 0.375 0.25 
0.125 0.25 0.5 0.125 
0.125 0.25 0.625 0.0 
0.125 0.375 0.0 0.5 
0.125 0.375 0.125 0.375 
0.125 0.375 0.25 0.25 
0.125 0.375 0.375 0.125 
0.125 0.375 0.5 0.0 
0.125 0.5 0.0 0.375 
0.125 0.5 0.125 0.25 
0.125 0.5 0.25 0.125 
0.125 0.5 0.375 0.0 
0.125 0.625 0.0 0.25 
0.125 0.625 0.125 0.125 
0.125 0.625 0.25 0.0 
0.125 0.75 0.0 0.125 
0.125 0.75 0.125 0.0 
0.125 0.875 0.0 0.0 
0.25 0.0 0.0 0.75 
0.25 0.0 0.125 0.625 
0.25 0.0 0.25 0.5 
0.25 0.0 0.375 0.375 
0.25 0.0 0.5 0.25 
0.25 0.0 0.625 0.125 
0.25 0.0 0.75 0.0 
0.25 0.125 0.0 0.625 
0.25 0.125 0.125 0.5 
0.25 0.125 0.25 0.375 
0.25 0.125 0.375 0.25 
0.25 0.125 0.5 0.125 
0.25 0.125 0.625 0.0 
0.25 0.25 0.0 0.5 
0.25 0.25 0.125 0.375 
0.25 0.25 0.25 0.25 
0.25 0.25 0.375 0.125 
0.25 0.25 0.5 0.0 
0.25 0.375 0.0 0.375 
0.25 0.375 0.125 0.25 
0.25 0.375 0.25 0.125 
0.25 0.375 0.375 0.0 
0.25 0.5 0.0 0.25 
0.25 0.5 0.125 0.125 
0.25 0.5 0.25 0.0 
0.25 0.625 0.0 0.125 
0.25 0.625 0.125 0.0 
0.25 0.75 0.0 0.0 
0.375 0.0 0.0 0.625 
0.375 0.0 0.125 0.5 
0.375 0.0 0.25 0.375 
0.375 0.0 0.375 0.25 
0.375 0.0 0.5 0.125 
0.375 0.0 0.625 0.0 
0.375 0.125 0.0 0.5 
0.375 0.125 0.125 0.375 
0.375 0.125 0.25 0.25 
0.375 0.125 0.375 0.125 
0.375 0.125 0.5 0.0 
0.375 0.25 0.0 0.375 
0.375 0.25 0.125 0.25 
0.375 0.25 0.25 0.125 
0.375 0.25 0.375 0.0 
0.375 0.375 0.0 0.25 
0.375 0.375 0.125 0.125 
0.375 0.375 0.25 0.0 
0.375 0.5 0.0 0.125 
0.375 0.5 0.125 0.0 
0.375 0.625 0.0 0.0 
0.5 0.0 0.0 0.5 
0.5 0.0 0.125 0.375 
0.5 0.0 0.25 0.25 
0.5 0.0 0.375 0.125 
0.5 0.0 0.5 0.0 
0.5 0.125 0.0 0.375 
0.5 0.125 0.125 0.25 
0.5 0.125 0.25 0.125 
0.5 0.125 0.375 0.0 
0.5 0.25 0.0 0.25 
0.5 0.25 0.125 0.125 
0.5 0.25 0.25 0.0 
0.5 0.375 0.0 0.125 
0.5 0.375 0.125 0.0 
0.5 0.5 0.0 0.0 
0.625 0.0 0.0 0.375 
0.625 0.0 0.125 0.25 
0.625 0.0 0.25 0.125 
0.625 0.0 0.375 0.0 
0.625 0.125 0.0 0.25 
0.625 0.125 0.125 0.125 
0.625 0.125 0.25 0.0 
0.625 0.25 0.0 0.125 
0.625 0.25 0.125 0.0 
0.625 0.375 0.0 0.0 
0.75 0.0 0.0 0.25 
0.75 0.0 0.125 0.125 
